比较,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费,可购全部
,130,019897,富国中证沪港,07-01,0.9859,0.9859,1.08%,-0.23%,3.67%,5.03%,24.29%,47.74%,---,---,24.29%,-1.41%,47.74%,0.12%,
,131,019702,易方达上证科,07-01,1.3932,1.3932,-0.68%,1.46%,4.33%,1.06%,13.65%,47.73%,---,---,13.65%,39.32%,47.73%,0.12%,
,132,020423,华夏中证港股,07-01,1.6761,1.6761,-0.07%,-1.48%,8.44%,11.76%,19.25%,47.63%,---,---,19.25%,67.61%,47.64%,0.00%,
,133,012362,国泰中证全指,07-01,1.0896,1.0896,-0.44%,2.55%,7.83%,4.00%,-2.84%,47.60%,34.06%,22.76%,-2.84%,8.96%,47.60%,0.10%,
,134,021615,华泰紫金中证,07-01,1.4748,1.4748,-1.64%,3.22%,5.90%,0.59%,5.02%,47.52%,---,---,5.02%,47.48%,---,0.00%,
,135,019898,富国中证沪港,07-01,0.9827,0.9827,1.08%,-0.22%,3.66%,4.99%,24.19%,47.46%,---,---,24.19%,-1.73%,47.46%,0.00%,
,136,020683,南方上证科创,07-01,1.4733,1.4733,0.38%,2.06%,7.20%,2.36%,13.67%,47.33%,---,---,13.67%,47.33%,---,0.12%,
,137,019703,易方达上证科,07-01,1.3871,1.3871,-0.68%,1.46%,4.31%,0.99%,13.48%,47.28%,---,---,13.48%,38.71%,47.28%,0.00%,
,138,012363,国泰中证全指,07-01,1.0763,1.0763,-0.43%,2.54%,7.79%,3.92%,-2.99%,47.16%,33.24%,21.66%,-2.99%,7.63%,47.16%,0.00%,
,139,020684,南方上证科创,07-01,1.4710,1.4710,0.38%,2.07%,7.18%,2.33%,13.59%,47.11%,---,---,13.59%,47.10%,---,0.00%,
,140,019313,易方达中证港,07-01,1.3395,1.3395,-0.07%,0.57%,5.68%,3.55%,23.09%,46.76%,---,---,23.09%,33.95%,46.76%,0.12%,
,141,019314,易方达中证港,07-01,1.3325,1.3325,-0.07%,0.57%,5.65%,3.47%,22.91%,46.33%,---,---,22.91%,33.25%,46.33%,0.00%,
,142,020988,南方恒生科技,07-01,1.3552,1.3552,-0.07%,-0.01%,1.93%,-3.10%,15.73%,46.33%,---,---,15.73%,35.52%,46.33%,0.12%,
,143,012348,天弘恒生科技,07-01,0.7643,0.7643,-0.08%,0.00%,1.91%,-3.16%,16.42%,46.25%,31.87%,12.15%,16.42%,-23.57%,46.25%,0.10%,
