比较,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费,可购全部
,150,019571,诺安优化配置,07-01,1.8507,1.8507,0.54%,4.06%,7.52%,3.70%,4.42%,55.39%,---,---,4.42%,25.95%,55.39%,0.00%,
,151,012358,汇丰晋信医疗,07-01,0.7371,0.7371,1.71%,1.18%,7.51%,18.43%,54.04%,55.24%,23.63%,-6.05%,54.04%,-26.29%,55.24%,0.15%,
,152,001135,益民品质升级,07-01,0.8800,0.8800,0.65%,1.24%,2.85%,15.70%,32.39%,55.12%,23.77%,-3.08%,32.39%,-12.00%,55.12%,0.15%,
,153,014232,博时专精特新,07-01,1.0809,1.0809,0.08%,3.43%,9.47%,8.93%,24.54%,55.03%,18.71%,17.04%,24.54%,8.09%,55.03%,0.15%,
,154,017648,信澳聚优智选,07-01,1.0773,1.0773,-1.58%,1.11%,5.91%,3.06%,14.72%,55.03%,1.04%,---,14.72%,7.73%,55.03%,0.15%,
,155,005550,汇安成长优选,07-01,1.3610,1.3610,-0.48%,7.50%,20.51%,5.25%,31.85%,54.99%,17.11%,-6.42%,31.85%,36.10%,54.99%,0.15%,
,156,020970,益民品质升级,07-01,0.8775,0.8775,0.64%,1.23%,2.82%,15.64%,32.25%,54.79%,---,---,32.25%,66.22%,54.79%,0.00%,
,157,004206,华商元亨混合,07-01,1.9577,2.3197,0.28%,5.92%,18.38%,12.70%,22.43%,54.69%,46.49%,64.11%,22.43%,143.69%,54.69%,0.15%,
,158,012093,鹏华创新升级,07-01,1.1865,1.1865,3.77%,0.83%,4.66%,16.97%,47.68%,54.65%,46.19%,34.63%,47.68%,18.65%,54.65%,0.15%,
,159,002810,金信转型创新,07-01,2.6814,2.6814,0.01%,5.44%,7.54%,7.10%,19.46%,54.62%,38.50%,35.63%,19.46%,168.14%,54.62%,0.15%,
,160,012359,汇丰晋信医疗,07-01,0.7231,0.7231,1.70%,1.16%,7.49%,18.31%,53.69%,54.57%,22.48%,-7.39%,53.69%,-27.69%,54.57%,0.00%,
