比较,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费,可购全部
,70,008923,建信医疗健康,07-01,1.4120,1.4120,2.92%,2.22%,6.95%,19.82%,43.22%,43.96%,26.22%,37.64%,43.22%,41.20%,43.96%,0.15%,
,71,001628,招商体育文化,07-01,1.7700,1.7700,-0.23%,2.91%,8.92%,7.66%,13.39%,43.67%,-4.63%,25.00%,13.39%,77.00%,43.67%,0.15%,
,72,014163,富国港股通量,07-01,1.2444,1.2444,-0.07%,-0.11%,5.01%,5.72%,23.28%,43.63%,42.12%,40.59%,23.28%,30.59%,43.63%,0.00%,
,73,008924,建信医疗健康,07-01,1.3924,1.3924,2.91%,2.21%,6.87%,19.72%,42.96%,43.41%,25.22%,36.00%,42.96%,39.24%,43.41%,0.00%,
,74,007853,华商计算机行,07-01,1.1588,1.1588,-1.41%,2.68%,4.09%,-4.45%,2.88%,42.62%,-8.28%,10.43%,2.88%,15.88%,42.62%,0.15%,
,75,010003,景顺长城电子,07-01,1.3373,1.3373,0.32%,3.00%,6.69%,-0.44%,13.66%,42.54%,11.75%,21.09%,13.66%,33.73%,42.54%,0.15%,
,76,015395,招商体育文化,07-01,1.7230,1.7230,-0.23%,2.93%,8.84%,7.42%,12.98%,42.40%,-6.15%,22.03%,12.98%,15.79%,42.40%,0.00%,
,77,017628,华商计算机行,07-01,1.1478,1.1478,-1.41%,2.68%,4.05%,-4.54%,2.67%,42.07%,-9.00%,---,2.67%,20.24%,42.07%,0.00%,
,78,010004,景顺长城电子,07-01,1.3124,1.3124,0.31%,2.99%,6.70%,-0.49%,13.47%,42.02%,10.89%,19.70%,13.47%,31.24%,42.02%,0.00%,
,79,017209,国泰君安科技,07-01,1.1646,1.1646,0.13%,3.49%,7.92%,6.23%,14.05%,41.20%,10.33%,---,14.05%,16.46%,41.20%,0.15%,
,80,020748,国联智选先锋,07-01,1.4087,1.4087,0.43%,2.47%,6.14%,5.69%,14.31%,41.07%,---,---,14.31%,40.87%,---,0.15%,
,81,010387,易方达医药生,07-01,0.8161,0.8161,3.15%,1.67%,6.37%,13.08%,37.58%,40.80%,32.27%,26.53%,37.58%,-18.39%,40.80%,0.15%,
,82,013242,北信瑞丰优势,07-01,0.8938,0.8938,0.38%,4.60%,12.09%,7.18%,20.46%,40.53%,23.03%,-0.23%,20.46%,-10.62%,40.53%,0.15%,
,83,019759,中欧半导体产,07-01,1.1838,1.1838,-0.40%,2.17%,4.80%,-0.57%,2.14%,40.53%,---,---,2.14%,18.38%,40.53%,0.15%,
,84,017210,国泰君安科技,07-01,1.1496,1.1496,0.12%,3.48%,7.87%,6.10%,13.78%,40.50%,9.24%,---,13.78%,14.96%,40.50%,0.00%,
,85,011685,创金合信先进,07-01,1.3027,1.3027,-0.09%,5.56%,7.44%,8.55%,18.15%,40.44%,16.57%,24.62%,18.15%,30.27%,40.44%,0.15%,
,86,020749,国联智选先锋,07-01,1.4011,1.4011,0.43%,2.46%,6.10%,5.57%,14.02%,40.36%,---,---,14.02%,40.11%,---,0.00%,
,87,001975,景顺长城环保,07-01,3.4010,3.4010,0.21%,2.84%,3.94%,-1.22%,15.41%,40.25%,8.55%,0.77%,15.41%,240.10%,40.25%,0.15%,
,88,010388,易方达医药生,07-01,0.8014,0.8014,3.15%,1.67%,6.34%,13.03%,37.39%,40.25%,31.25%,25.06%,37.39%,-19.86%,40.25%,0.00%,
,89,001048,富国新兴产业,07-01,2.2930,2.2930,-0.04%,2.78%,4.56%,-4.93%,2.87%,39.90%,1.10%,18.44%,2.87%,129.30%,39.90%,0.15%,
,90,019764,中欧半导体产,07-01,1.1745,1.1745,-0.42%,2.16%,4.74%,-0.70%,1.88%,39.84%,---,---,1.88%,17.45%,39.84%,0.00%,
,91,011686,创金合信先进,07-01,1.2734,1.2734,-0.09%,5.55%,7.39%,8.41%,17.85%,39.75%,15.41%,22.60%,17.85%,27.34%,39.75%,0.00%,
,92,020698,国泰君安科创,07-01,1.3190,1.3190,0.21%,3.19%,7.01%,3.95%,12.37%,39.68%,---,---,12.37%,31.90%,---,0.15%,
,93,019824,国寿安保新材,07-01,1.3961,1.3961,1.33%,3.60%,16.21%,4.12%,16.36%,39.50%,---,---,16.36%,39.61%,39.50%,0.12%,
,94,008283,易方达金融行,07-01,1.5421,1.5421,0.53%,0.34%,6.96%,13.63%,17.50%,39.41%,38.29%,22.72%,17.50%,54.21%,39.41%,0.15%,
,95,009891,融通产业趋势,07-01,1.2962,1.2962,1.29%,5.40%,8.69%,8.40%,17.47%,39.38%,12.45%,19.76%,17.47%,29.62%,39.38%,0.15%,
,96,015686,富国新兴产业,07-01,2.2540,2.2540,0.00%,2.78%,4.55%,-5.05%,2.64%,39.22%,-0.04%,16.43%,2.64%,28.00%,39.22%,0.00%,
,97,006195,国金量化多因,07-01,2.4421,2.4421,0.42%,2.83%,7.47%,13.39%,20.52%,39.18%,17.62%,36.99%,20.52%,144.21%,39.18%,0.15%,
,98,020699,国泰君安科创,07-01,1.3126,1.3126,0.21%,3.18%,6.98%,3.84%,12.15%,39.12%,---,---,12.15%,31.26%,---,0.00%,
,99,011328,景顺长城新能,07-01,1.1625,1.1625,-0.43%,1.34%,3.20%,-1.32%,6.74%,38.87%,2.89%,-22.44%,6.74%,16.25%,38.87%,0.15%,
,100,019825,国寿安保新材,07-01,1.3893,1.3893,1.33%,3.59%,16.15%,4.00%,16.08%,38.85%,---,---,16.08%,38.93%,38.85%,0.00%,
,101,005962,宝盈人工智能,07-01,2.8336,2.8336,-0.07%,2.23%,9.99%,4.38%,8.98%,38.73%,17.07%,-3.40%,8.98%,183.36%,38.73%,0.15%,
,102,011329,景顺长城新能,07-01,1.1573,1.1573,-0.43%,1.34%,3.19%,-1.35%,6.68%,38.73%,2.67%,-22.68%,6.68%,15.73%,38.73%,0.00%,
,103,016858,国金量化多因,07-01,2.4165,2.4165,0.42%,2.83%,7.43%,13.28%,20.28%,38.63%,16.68%,---,20.28%,36.46%,38.63%,0.00%,
,104,014062,景顺长城专精,07-01,0.8065,0.8065,0.57%,4.16%,9.53%,7.20%,20.00%,38.36%,3.12%,-1.97%,20.00%,-19.35%,38.36%,0.15%,
,105,014063,景顺长城专精,07-01,0.7950,0.7950,0.58%,4.15%,9.50%,7.10%,19.76%,37.83%,2.30%,-3.13%,19.76%,-20.50%,37.83%,0.00%,
,106,010709,安信医药健康,07-01,1.2908,1.3488,3.82%,3.16%,4.55%,24.56%,41.64%,37.82%,4.32%,2.58%,41.64%,35.15%,37.82%,0.15%,
,107,019026,易方达金融行,07-01,1.5168,1.5168,0.54%,0.34%,6.92%,13.51%,17.24%,37.69%,---,---,17.24%,36.54%,37.69%,0.00%,
,108,005963,宝盈人工智能,07-01,2.6818,2.6818,-0.07%,2.22%,9.92%,4.18%,8.54%,37.61%,15.20%,-5.70%,8.54%,168.18%,37.61%,0.00%,
,109,011077,汇丰晋信创新,07-01,0.9016,0.9016,-0.09%,1.10%,3.70%,-0.44%,8.60%,37.50%,21.54%,0.51%,8.60%,-9.84%,37.50%,0.15%,
,110,003053,嘉实文体娱乐,07-01,1.9030,1.9030,0.05%,4.39%,6.25%,-1.76%,7.64%,37.40%,-11.86%,19.09%,7.64%,90.30%,37.40%,0.15%,
,111,005457,景顺长城量化,07-01,1.4746,1.7546,0.46%,3.10%,7.22%,5.42%,12.95%,37.40%,11.98%,7.04%,12.95%,79.89%,37.40%,0.15%,
,112,010710,安信医药健康,07-01,1.2627,1.3197,3.81%,3.14%,4.49%,24.38%,41.27%,37.10%,3.27%,1.03%,41.27%,32.16%,37.10%,0.00%,
,113,007831,博道伍佰智航,07-01,1.4774,1.7694,0.44%,3.03%,6.80%,9.30%,16.29%,37.08%,24.10%,19.02%,16.29%,85.17%,37.08%,0.12%,
,114,018495,融通产业趋势,07-01,1.2641,1.2641,1.29%,5.39%,8.64%,8.24%,16.94%,36.87%,9.73%,---,16.94%,20.08%,36.87%,0.00%,
,115,501201,红土创新科技,07-01,1.0887,1.0887,-1.17%,7.80%,13.63%,10.48%,17.08%,36.70%,-31.06%,-41.02%,17.08%,8.87%,36.70%,0.15%,
,116,007832,博道伍佰智航,07-01,1.4476,1.7396,0.44%,3.02%,6.78%,9.22%,16.12%,36.67%,23.36%,17.97%,16.12%,82.02%,36.67%,0.00%,
,117,003054,嘉实文体娱乐,07-01,1.8250,1.8250,0.05%,4.41%,6.17%,-1.88%,7.35%,36.60%,-12.76%,17.29%,7.35%,82.50%,36.60%,0.00%,
,118,002861,工银智能制造,07-01,1.6640,1.6640,0.06%,5.38%,9.83%,5.45%,11.01%,36.51%,19.03%,-1.48%,11.01%,66.40%,36.51%,0.15%,
,119,011042,国泰价值先锋,07-01,0.9287,0.9287,0.24%,0.35%,7.39%,7.07%,27.31%,36.43%,5.40%,-6.95%,27.31%,-7.13%,36.43%,0.15%,
,120,001672,国寿安保智慧,07-01,1.4650,2.2720,0.55%,4.57%,7.80%,-0.54%,10.40%,36.41%,13.73%,13.11%,10.40%,160.52%,36.41%,0.15%,
,121,002387,工银沪港深股,07-01,1.0573,1.1253,-0.08%,-0.70%,3.01%,4.98%,21.81%,36.20%,25.78%,-6.03%,21.81%,12.19%,36.20%,0.15%,
,122,009601,招商科技动力,07-01,1.3103,1.3103,-0.33%,1.09%,3.73%,0.89%,10.30%,36.19%,63.24%,51.53%,10.30%,31.03%,36.19%,0.15%,
,123,004616,中欧电子信息,07-01,2.4983,2.5673,-0.42%,2.86%,7.84%,1.73%,12.17%,36.02%,-8.34%,24.38%,12.17%,157.58%,36.02%,0.15%,
,124,017488,嘉实信息产业,07-01,1.4221,1.4221,-1.15%,2.98%,6.13%,-0.48%,-0.96%,35.89%,-1.10%,---,-0.96%,42.21%,35.89%,0.15%,
,125,016336,博时卓远成长,07-01,1.2201,1.2201,0.99%,4.51%,7.37%,10.61%,14.48%,35.75%,5.47%,---,14.48%,22.01%,35.75%,0.15%,
,126,001917,招商量化精选,07-01,2.9116,2.9816,1.02%,3.27%,7.65%,4.27%,15.46%,35.56%,24.87%,39.66%,15.46%,209.76%,35.56%,0.15%,
,127,002210,创金合信量化,07-01,1.2505,1.8811,0.11%,2.38%,7.33%,6.55%,14.45%,35.50%,7.89%,2.39%,14.45%,98.73%,35.50%,0.15%,
,128,013339,创金合信芯片,07-01,0.9890,0.9890,-1.04%,2.57%,6.15%,-1.77%,0.57%,35.46%,5.57%,12.48%,0.57%,-1.10%,35.46%,0.15%,
,129,016847,中欧高端装备,07-01,1.0768,1.0768,0.00%,16.40%,20.19%,19.43%,27.96%,35.43%,11.85%,---,27.96%,7.68%,35.43%,0.15%,
,130,007512,工银沪港深股,07-01,1.0258,1.0258,-0.07%,-0.71%,2.96%,4.83%,21.44%,35.35%,24.23%,-7.78%,21.44%,-6.20%,35.35%,0.00%,
,131,011043,国泰价值先锋,07-01,0.8971,0.8971,0.23%,0.34%,7.32%,6.85%,26.80%,35.33%,3.71%,-9.16%,26.80%,-10.29%,35.33%,0.00%,
,132,009602,招商科技动力,07-01,1.2612,1.2612,-0.33%,1.07%,3.66%,0.69%,9.90%,35.13%,60.66%,47.98%,9.90%,26.12%,35.13%,0.00%,
,133,017489,嘉实信息产业,07-01,1.4012,1.4012,-1.16%,2.98%,6.08%,-0.62%,-1.25%,35.08%,-2.27%,---,-1.25%,40.12%,35.08%,0.00%,
,134,016337,博时卓远成长,07-01,1.2001,1.2001,1.00%,4.50%,7.32%,10.46%,14.13%,34.95%,4.21%,---,14.13%,20.01%,34.95%,0.00%,
,135,005763,中欧电子信息,07-01,2.5142,2.5842,-0.42%,2.85%,7.77%,1.53%,11.72%,34.92%,-9.81%,21.42%,11.72%,136.66%,34.92%,0.00%,
,136,004698,博时军工主题,07-01,1.6060,1.6060,-0.19%,7.42%,11.30%,7.71%,16.04%,34.84%,-5.03%,-20.61%,16.04%,60.60%,34.84%,0.15%,
